line_no,name,building_type,start_dynasty,start_year,century,century_num,province,address,start_time_confidence,建筑结构体系_terms,建筑材料_terms,建筑功能_terms,营造技艺_terms,建筑空间布局_terms,material_categories
11,安济桥,桥梁,隋,595,6世纪,6,河北省,河北省赵县,0.96,拱券结构;敞肩拱;石拱桥,石材;石灰砂浆;铁榫,交通桥梁;泄洪通道,干砌法;拱券砌筑;铁件加固,单跨拱桥;对称布局,灰浆胶结类;石材类;金属类
13,永通桥,桥梁,唐,765,8世纪,8,河北省,河北省赵县,0.85,单孔敞肩弧形坦拱;并列券敞肩式;纵向并列砌筑,石桥;拱券石;浮雕石材,通济交通;车行便桥,纵向并列砌筑法;斗子蜀柱;荷叶墩;驼峰托斗,主副拱组合;四小拱伏设;桥面梯形平面,石材类
53,故宫,宫殿,明,1406,15世纪,15,北京市,北京市,0.98,九梁十八柱七十二条脊;抬梁式,汉白玉;木材,外朝;内廷;佛堂,预制拼装;官式营造,中轴对称;外朝内廷;院落组合,木材类
65,沈阳故宫,宫殿,清,1625,17世纪,17,辽宁省,辽宁省沈阳市,0.99,重檐八角亭式;彻上明造;单檐硬山顶;须弥座台基,绿剪边黄琉璃瓦;大青石;黑琉璃瓦;宝瓶火焰珠攒尖顶,理政殿;登基大典场所;藏书阁,修缮开放展示,东路-中路-西路三段式;宫高殿低;八旗帐殿布局,石材类;砖瓦类
66,国子监,官府,隋,581,6世纪,6,北京市,北京市东城区,0.92,合院式布局;中轴对称,青砖灰瓦;木构架,中央官学;科举考核;士子教育;德行规管;留学生接待,抬梁式构架;官式彩画,成贤街;四牌楼;国子监街;牌坊布局,木材类;砖瓦类
73,杜甫草堂,民居,唐,760,8世纪,8,四川省,四川省成都市,0.95,中轴对称;回廊结构,茅草;木材,展览馆;纪念祠;书斋,茅屋营造;传统木构,中轴线布局;对称回廊;围院结构,木材类
76,避暑山庄,宫殿,清,1703,18世纪,18,河北省,河北省承德市,0.99,汉藏结合式;藏式寺庙;汉式寺庙,楠木;金漆木雕;铜,行宫;听政殿;接见外使;皇家园林,取法自然;融合南北造园艺术;仿天一阁,宫殿区与苑景区;湖泊区;平原区;山峦区,木材类;金属类
91,皇史宬,官府,明,1534,16世纪,16,北京市,北京市,0.99,拱券式无梁结构;砖木仿石结构;庑殿顶,磨砖;汉白玉;黄琉璃筒瓦;樟木,皇家档案馆;石室金匮,拱券砌筑;防潮构造;防火设计,围院结构;中轴对称布局;配殿对置,木材类;砖瓦类
94,古观象台,官府,明,1442,15世纪,15,北京市,北京市,0.98,城堡式高台;展厅结构,灰砖,国家天文台;钦天监外署;博物馆,大规模维修;内部掏空改建,四合院;观象台与四合院组合;围院结构,砖瓦类
99,蓬莱水城及蓬莱阁,官府,宋,1061,11世纪,11,山东省,山东省蓬莱县,0.98,水门;防波堤;城墙;敌台;炮台,土城;包砖,海防要塞;水军基地;操练水师;停泊船舰,土城夯筑;外包砖砌;依山就势,不规则长方形;山麓依附;南宽北窄;山城一体,土类;砖瓦类
102,恭王府及花园,官府,清,1777,18世纪,18,北京市,北京市,0.92,四合院;后罩楼;多进院落;三路并列,青砖灰瓦;木构架;琉璃构件,祭祀空间;戏楼演出;厅堂会客,抬梁式构架;榫卯结构;彩画装饰,中轴对称;三路分区;前府后园;院落串联,木材类;砖瓦类
103,网师园,民居,宋,1174,12世纪,12,江苏省,江苏省苏州市,0.85,宅园合一;中轴对称;四进院落,石材;木材;砖瓦,宴乐空间;书房;夜花园,叠石;临水布局;亭宇增建,中轴主园;内园紧凑;池水为中心;东宅西园,木材类;石材类;砖瓦类
116,正阳门,官府,明,1419,15世纪,15,北京市,北京市,0.99,木结构;重檐歇山顶;砖砌城台;菱花格扇门窗,木材;朱红砖;灰筒瓦;绿琉璃剪边,御用门道;箭窗防御;国货陈列所;礼制通道,形制放大重建;西洋纹饰融合;汉白玉栏杆加设;半弧形遮阳华盖,瓮城布局;城楼-箭楼对置;月墙侧门;庙宇对称配置,木材类;砖瓦类
117,清远楼,官府,明,1482,15世纪,15,河北省,河北省张家口市宣化区,0.98,高台楼阁式;重檐歇山顶;回廊结构;抱厦,青砖;条石;琉璃瓦;布瓦,钟楼;报时建筑;镇城设施,三踩单翘斗拱;九踩斗拱;通天柱;六椽结构,十字门洞;四门通衢;中心偏东布局,石材类;砖瓦类
118,光岳楼,官府,明,1374,14世纪,14,山东省,山东省聊城市,0.92,四重檐十字脊;全木结构;楼阁式;金柱支撑;斗拱结构,木材;基条石;余木,瞭望;御敌;军事指挥,浅性基础;斗拱营造;原物保留修缮,中心对称布局;面阔进深递减;拱门四向设制;单入口通达,木材类;石材类
119,岳阳楼,官府,东汉,215,3世纪,3,湖南省,湖南省岳阳市,0.96,纯木结构;盔顶;四柱;飞檐;如意斗拱,楠木;玻璃筒瓦;桐油石灰;糯米粉调细瓷灰,阅军楼;宴席之地;观览风景;凭吊场所,榫合结构;无钉构造;桐油石灰粘结;糯米灰浆砌筑,三层楼阁;后移布局;贴金雕花门窗,木材类;灰浆胶结类;石材类;砖瓦类
120,观音桥,桥梁,宋,1014,11世纪,11,江西省,江西省星子县,0.9,石拱桥,石材,交通桥梁;文物保护单位,干砌石工;券拱技术,单孔拱券;跨涧而建,石材类
122,广济桥,桥梁,宋,1171,12世纪,12,广东省,广东省潮州市,0.98,浮梁结合结构;梁桥;浮桥;拱桥;十八梭船廿四洲,石材;木材;铁件,交通要津;旅游观光步行桥,启闭式桥梁;梁桥与浮桥并存,横跨韩江;联结东西两岸;十八梭船廿四洲,木材类;石材类;金属类
123,古纤道,桥梁,唐,815,9世纪,9,浙江省,浙江省绍兴市,0.96,石墩梁桥;拱桥;实体纤道;双面临水纤道;单面靠岸纤道,条石;石板;石砌;石甃,行舟背纤通道;运河附属设施;纤道,石砌工艺;石甃修葺;大规模修整,水中长堤;两面环水;笔直无曲;线性延展,石材类
124,直隶总督署,官府,清,1730,18世纪,18,河北省,河北省保定市,0.85,抬梁式;穿斗式,木材;砖石;琉璃瓦,官署;行政办公,榫卯结构;糯米灰浆,中轴对称;围院结构,木材类;石材类;砖瓦类
125,卓克基土司官寨,官府,元,1286,13世纪,13,四川省,四川省马尔康县,0.85,石木结构;收分墙体;通高柱;横梁穿插,青石;黄泥;木材;片石,政教中心;居住空间;防御碉楼;经堂空间,暗榫连接;子母榫;树枝泥土层;望板铺筑,四合院式;中轴对称;天井回廊;四方碉楼,木材类;石材类
126,大屯土司庄园,官府,清,1821,19世纪,19,贵州省,贵州省毕节县,0.95,砖木结构,砖;木材,大堂;正堂;祠堂;绣楼;仓房,依山而建;三路分合;院落联通,三路布局;中轴对称;院落联通,木材类;砖瓦类
139,泰宁尚书第,官府,明,1621,17世纪,17,福建省,福建省泰宁县,0.95,木构架;抬梁式,青砖;木材;石材,府第;尚书府邸,榫卯结构;雕花装饰,五福堂;三进院落;坐西朝东;多院并联,木材类;石材类;砖瓦类
